src/main/java/com/mb/MbSpringJwtApplication.java:9:	UnnecessaryAnnotationValueElement:	UnnecessaryAnnotationValueElement: Avoid the use of value in annotations when its the only element
src/main/java/com/mb/common/constant/ExceptionMessage.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:10:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:10:	LongVariable:	LongVariable: Avoid excessively long variable names like INVALID_REQUEST_BODY
src/main/java/com/mb/common/constant/ExceptionMessage.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:13:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:14:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:14:	LongVariable:	LongVariable: Avoid excessively long variable names like USER_ROLE_NOT_FOUND
src/main/java/com/mb/common/constant/ExceptionMessage.java:15:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:15:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:15:	LongVariable:	LongVariable: Avoid excessively long variable names like USER_ALREADY_EXIST
src/main/java/com/mb/common/constant/ExceptionMessage.java:16:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:16:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:19:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:19:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ExceptionMessage.java:20:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ExceptionMessage.java:20:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/JwtConstant.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:8:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:8:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:10:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:12:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:12:	LongVariable:	LongVariable: Avoid excessively long variable names like ACCESS_TOKEN_EXPIRY_MS
src/main/java/com/mb/common/constant/JwtConstant.java:13:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:13:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:13:	LongVariable:	LongVariable: Avoid excessively long variable names like REFRESH_TOKEN_EXPIRY_MS
src/main/java/com/mb/common/constant/JwtConstant.java:14:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:14:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:15:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:15:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/JwtConstant.java:17:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/JwtConstant.java:17:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/KeyConstant.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/KeyConstant.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/KeyConstant.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/KeyConstant.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/KeyConstant.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/KeyConstant.java:10:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ResponseMessage.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/ResponseMessage.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/ResponseMessage.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ResponseMessage.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ResponseMessage.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/ResponseMessage.java:12:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/ResponseMessage.java:12:	LongVariable:	LongVariable: Avoid excessively long variable names like USER_ADDED_SUCCESS
src/main/java/com/mb/common/constant/SwaggerConstant.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/SwaggerConstant.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/SwaggerConstant.java:8:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/SwaggerConstant.java:8:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/SwaggerConstant.java:9:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/SwaggerConstant.java:9:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/SwaggerConstant.java:10:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/SwaggerConstant.java:10:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/UrlMapping.java:3:	ClassWithOnlyPrivateConstructorsShouldBeFinal:	ClassWithOnlyPrivateConstructorsShouldBeFinal: A class which only has private constructors should be final
src/main/java/com/mb/common/constant/UrlMapping.java:3:	CommentRequired:	CommentRequired: Class comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:8:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:8:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/UrlMapping.java:11:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:11:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
src/main/java/com/mb/common/constant/UrlMapping.java:12:	CommentRequired:	CommentRequired: Field comments are required
src/main/java/com/mb/common/constant/UrlMapping.java:12:	FieldDeclarationsShouldBeAtStartOfClass:	FieldDeclarationsShouldBeAtStartOfClass: Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.
